"Trends","Search volume","Started","Ended","Trend breakdown","Explore link"
"football","500+","24 October 2024 at 00:30:00 UTC+5:30","24 October 2024 at 04:10:00 UTC+5:30","football","https://trends.google.com/trends/explore?q=football&geo=IN&hl=en-GB"
"kim kardashian","200+","28 October 2024 at 00:30:00 UTC+5:30","28 October 2024 at 02:30:00 UTC+5:30","kim kardashian","https://trends.google.com/trends/explore?q=kim%20kardashian&geo=IN&hl=en-GB"
"europa league standings","500+","25 October 2024 at 02:20:00 UTC+5:30","25 October 2024 at 07:40:00 UTC+5:30","europa league standings","https://trends.google.com/trends/explore?q=europa%20league%20standings&geo=IN&hl=en-GB"
"shivam dube","500+","25 October 2024 at 01:10:00 UTC+5:30","25 October 2024 at 04:30:00 UTC+5:30","shivam dube","https://trends.google.com/trends/explore?q=shivam%20dube&geo=IN&hl=en-GB"
"luis suárez","1K+","26 October 2024 at 06:40:00 UTC+5:30","26 October 2024 at 08:20:00 UTC+5:30","luis suárez,jordi alba","https://trends.google.com/trends/explore?q=luis%20su%C3%A1rez&geo=IN&hl=en-GB"
"indian viral video","1K+","26 October 2024 at 20:10:00 UTC+5:30","26 October 2024 at 21:50:00 UTC+5:30","indian viral video,bhojpuri video,भोजपुरी गाना","https://trends.google.com/trends/explore?q=indian%20viral%20video&geo=IN&hl=en-GB"
"shakti pumps share price","500+","28 October 2024 at 09:30:00 UTC+5:30","28 October 2024 at 10:50:00 UTC+5:30","shakti pumps share price","https://trends.google.com/trends/explore?q=shakti%20pumps%20share%20price&geo=IN&hl=en-GB"
"adani wilmar share price","2K+","24 October 2024 at 15:00:00 UTC+5:30","24 October 2024 at 16:30:00 UTC+5:30","adani wilmar share price,adani wilmar,adani wilmar share,awl share price","https://trends.google.com/trends/explore?q=adani%20wilmar%20share%20price&geo=IN&hl=en-GB"
"bigg boss 8 voting results today","1K+","28 October 2024 at 23:00:00 UTC+5:30","28 October 2024 at 23:40:00 UTC+5:30","bigg boss 8 voting results today,bigg boss elimination","https://trends.google.com/trends/explore?q=bigg%20boss%208%20voting%20results%20today&geo=IN&hl=en-GB"
"raja saab prabhas","1K+","23 October 2024 at 17:10:00 UTC+5:30","23 October 2024 at 21:30:00 UTC+5:30","raja saab prabhas,prabhas raja saab","https://trends.google.com/trends/explore?q=raja%20saab%20prabhas&geo=IN&hl=en-GB"
"simon doull","500+","26 October 2024 at 20:10:00 UTC+5:30","26 October 2024 at 21:50:00 UTC+5:30","simon doull","https://trends.google.com/trends/explore?q=simon%20doull&geo=IN&hl=en-GB"
"orlando city vs charlotte","200+","28 October 2024 at 06:40:00 UTC+5:30","28 October 2024 at 09:00:00 UTC+5:30","orlando city vs charlotte","https://trends.google.com/trends/explore?q=orlando%20city%20vs%20charlotte&geo=IN&hl=en-GB"
"income tax authorities raid locations connected to bjp leader amol balwadkar","1K+","23 October 2024 at 21:00:00 UTC+5:30","24 October 2024 at 07:50:00 UTC+5:30","income tax authorities raid locations connected to bjp leader amol balwadkar","https://trends.google.com/trends/explore?q=income%20tax%20authorities%20raid%20locations%20connected%20to%20bjp%20leader%20amol%20balwadkar&geo=IN&hl=en-GB"
"washington post subscription","1K+","27 October 2024 at 08:50:00 UTC+5:30","27 October 2024 at 10:00:00 UTC+5:30","washington post subscription,jeff bezos kamala harris,meet,is,top","https://trends.google.com/trends/explore?q=washington%20post%20subscription&geo=IN&hl=en-GB"
"anand dighe","500+","27 October 2024 at 00:10:00 UTC+5:30","27 October 2024 at 03:10:00 UTC+5:30","anand dighe","https://trends.google.com/trends/explore?q=anand%20dighe&geo=IN&hl=en-GB"
"alejandro balde","500+","24 October 2024 at 00:10:00 UTC+5:30","24 October 2024 at 03:30:00 UTC+5:30","alejandro balde","https://trends.google.com/trends/explore?q=alejandro%20balde&geo=IN&hl=en-GB"
"leo","1K+","26 October 2024 at 21:50:00 UTC+5:30","26 October 2024 at 23:00:00 UTC+5:30","leo,horoscope,astrology","https://trends.google.com/trends/explore?q=leo&geo=IN&hl=en-GB"
"bse small cap","200+","28 October 2024 at 09:30:00 UTC+5:30","28 October 2024 at 10:40:00 UTC+5:30","bse small cap","https://trends.google.com/trends/explore?q=bse%20small%20cap&geo=IN&hl=en-GB"
"fran garcía","200+","27 October 2024 at 02:20:00 UTC+5:30","27 October 2024 at 04:10:00 UTC+5:30","fran garcía","https://trends.google.com/trends/explore?q=fran%20garc%C3%ADa&geo=IN&hl=en-GB"
"inter milan","500+","24 October 2024 at 01:00:00 UTC+5:30","24 October 2024 at 03:40:00 UTC+5:30","inter milan","https://trends.google.com/trends/explore?q=inter%20milan&geo=IN&hl=en-GB"
"lk advani","500+","24 October 2024 at 23:00:00 UTC+5:30","25 October 2024 at 01:40:00 UTC+5:30","lk advani","https://trends.google.com/trends/explore?q=lk%20advani&geo=IN&hl=en-GB"
"bigg boss kannada season 11 elimination today","500+","27 October 2024 at 22:50:00 UTC+5:30","28 October 2024 at 00:00:00 UTC+5:30","bigg boss kannada season 11 elimination today,kannada","https://trends.google.com/trends/explore?q=bigg%20boss%20kannada%20season%2011%20elimination%20today&geo=IN&hl=en-GB"
"us election","200+","29 October 2024 at 01:10:00 UTC+5:30","29 October 2024 at 07:50:00 UTC+5:30","us election","https://trends.google.com/trends/explore?q=us%20election&geo=IN&hl=en-GB"
"epic games","1K+","27 October 2024 at 00:30:00 UTC+5:30","27 October 2024 at 01:50:00 UTC+5:30","epic games","https://trends.google.com/trends/explore?q=epic%20games&geo=IN&hl=en-GB"
"tirupati","1K+","24 October 2024 at 09:50:00 UTC+5:30","24 October 2024 at 16:00:00 UTC+5:30","tirupati","https://trends.google.com/trends/explore?q=tirupati&geo=IN&hl=en-GB"
"taarak mehta ka ooltah chashmah","200+","28 October 2024 at 01:40:00 UTC+5:30","28 October 2024 at 02:30:00 UTC+5:30","taarak mehta ka ooltah chashmah","https://trends.google.com/trends/explore?q=taarak%20mehta%20ka%20ooltah%20chashmah&geo=IN&hl=en-GB"
"mlb","200+","27 October 2024 at 06:50:00 UTC+5:30","27 October 2024 at 09:20:00 UTC+5:30","mlb","https://trends.google.com/trends/explore?q=mlb&geo=IN&hl=en-GB"
"uttar pradesh bypolls","1K+","25 October 2024 at 11:50:00 UTC+5:30","25 October 2024 at 13:30:00 UTC+5:30","uttar pradesh bypolls","https://trends.google.com/trends/explore?q=uttar%20pradesh%20bypolls&geo=IN&hl=en-GB"
"sony","500+","27 October 2024 at 00:30:00 UTC+5:30","27 October 2024 at 02:50:00 UTC+5:30","sony","https://trends.google.com/trends/explore?q=sony&geo=IN&hl=en-GB"
"uae pro league","1K+","25 October 2024 at 17:50:00 UTC+5:30","25 October 2024 at 21:10:00 UTC+5:30","uae pro league","https://trends.google.com/trends/explore?q=uae%20pro%20league&geo=IN&hl=en-GB"
"navdeep singh","2K+","23 October 2024 at 21:40:00 UTC+5:30","23 October 2024 at 22:50:00 UTC+5:30","navdeep singh","https://trends.google.com/trends/explore?q=navdeep%20singh&geo=IN&hl=en-GB"
"gladiator 2","1K+","25 October 2024 at 23:00:00 UTC+5:30","26 October 2024 at 02:10:00 UTC+5:30","gladiator 2,gladiator","https://trends.google.com/trends/explore?q=gladiator%202&geo=IN&hl=en-GB"
"today isl match","2K+","23 October 2024 at 19:10:00 UTC+5:30","23 October 2024 at 20:40:00 UTC+5:30","today isl match,isl today match,isl match today,isl today","https://trends.google.com/trends/explore?q=today%20isl%20match&geo=IN&hl=en-GB"
"gsw","200+","28 October 2024 at 08:10:00 UTC+5:30","28 October 2024 at 09:30:00 UTC+5:30","gsw","https://trends.google.com/trends/explore?q=gsw&geo=IN&hl=en-GB"
"silver gold","1K+","24 October 2024 at 13:00:00 UTC+5:30","24 October 2024 at 14:40:00 UTC+5:30","silver gold,silver price","https://trends.google.com/trends/explore?q=silver%20gold&geo=IN&hl=en-GB"
"zak crawley","1K+","24 October 2024 at 11:20:00 UTC+5:30","24 October 2024 at 12:30:00 UTC+5:30","zak crawley","https://trends.google.com/trends/explore?q=zak%20crawley&geo=IN&hl=en-GB"
"ami organics share price","200+","29 October 2024 at 12:50:00 UTC+5:30","29 October 2024 at 13:20:00 UTC+5:30","ami organics share price","https://trends.google.com/trends/explore?q=ami%20organics%20share%20price&geo=IN&hl=en-GB"
"myktybek orolbai","500+","26 October 2024 at 22:10:00 UTC+5:30","26 October 2024 at 23:40:00 UTC+5:30","myktybek orolbai","https://trends.google.com/trends/explore?q=myktybek%20orolbai&geo=IN&hl=en-GB"
"zim vs rwa","1K+","23 October 2024 at 18:40:00 UTC+5:30","23 October 2024 at 21:00:00 UTC+5:30","zim vs rwa","https://trends.google.com/trends/explore?q=zim%20vs%20rwa&geo=IN&hl=en-GB"
"sara arfeen khan","2K+","23 October 2024 at 23:10:00 UTC+5:30","24 October 2024 at 00:20:00 UTC+5:30","sara arfeen khan,arfeen khan,afreen khan","https://trends.google.com/trends/explore?q=sara%20arfeen%20khan&geo=IN&hl=en-GB"
"netflix subscription","200+","30 October 2024 at 00:00:00 UTC+5:30","30 October 2024 at 00:20:00 UTC+5:30","netflix subscription","https://trends.google.com/trends/explore?q=netflix%20subscription&geo=IN&hl=en-GB"
"কলকাতা ফটাফট","500+","26 October 2024 at 18:40:00 UTC+5:30","27 October 2024 at 14:30:00 UTC+5:30","কলকাতা ফটাফট","https://trends.google.com/trends/explore?q=%E0%A6%95%E0%A6%B2%E0%A6%95%E0%A6%BE%E0%A6%A4%E0%A6%BE%20%E0%A6%AB%E0%A6%9F%E0%A6%BE%E0%A6%AB%E0%A6%9F&geo=IN&hl=en-GB"
"polio day 2024","1K+","24 October 2024 at 09:00:00 UTC+5:30","24 October 2024 at 12:20:00 UTC+5:30","polio day 2024,polio day,world polio day 2024","https://trends.google.com/trends/explore?q=polio%20day%202024&geo=IN&hl=en-GB"
"nda","2K+","24 October 2024 at 19:10:00 UTC+5:30","24 October 2024 at 22:00:00 UTC+5:30","nda,upsc","https://trends.google.com/trends/explore?q=nda&geo=IN&hl=en-GB"
"coforge share price","500+","28 October 2024 at 09:40:00 UTC+5:30","28 October 2024 at 10:20:00 UTC+5:30","coforge share price","https://trends.google.com/trends/explore?q=coforge%20share%20price&geo=IN&hl=en-GB"
"upcoming ipo","1K+","25 October 2024 at 13:20:00 UTC+5:30","25 October 2024 at 15:00:00 UTC+5:30","upcoming ipo","https://trends.google.com/trends/explore?q=upcoming%20ipo&geo=IN&hl=en-GB"
"nt ramaswamy actor","500+","26 October 2024 at 07:00:00 UTC+5:30","26 October 2024 at 08:30:00 UTC+5:30","nt ramaswamy actor,महिला","https://trends.google.com/trends/explore?q=nt%20ramaswamy%20actor&geo=IN&hl=en-GB"
"espn plus","500+","27 October 2024 at 00:50:00 UTC+5:30","27 October 2024 at 02:10:00 UTC+5:30","espn plus","https://trends.google.com/trends/explore?q=espn%20plus&geo=IN&hl=en-GB"
"investing","500+","28 October 2024 at 09:00:00 UTC+5:30","28 October 2024 at 10:00:00 UTC+5:30","investing","https://trends.google.com/trends/explore?q=investing&geo=IN&hl=en-GB"
"rajesh khanna","500+","26 October 2024 at 16:30:00 UTC+5:30","26 October 2024 at 18:10:00 UTC+5:30","rajesh khanna","https://trends.google.com/trends/explore?q=rajesh%20khanna&geo=IN&hl=en-GB"
"school education","1K+","24 October 2024 at 11:00:00 UTC+5:30","24 October 2024 at 13:10:00 UTC+5:30","school education","https://trends.google.com/trends/explore?q=school%20education&geo=IN&hl=en-GB"
"esports","500+","27 October 2024 at 00:30:00 UTC+5:30","27 October 2024 at 02:10:00 UTC+5:30","esports","https://trends.google.com/trends/explore?q=esports&geo=IN&hl=en-GB"
"coforge share price","1K+","24 October 2024 at 09:20:00 UTC+5:30","24 October 2024 at 10:50:00 UTC+5:30","coforge share price,sharekhan","https://trends.google.com/trends/explore?q=coforge%20share%20price&geo=IN&hl=en-GB"
"rga investment","500+","24 October 2024 at 23:50:00 UTC+5:30","25 October 2024 at 01:40:00 UTC+5:30","rga investment","https://trends.google.com/trends/explore?q=rga%20investment&geo=IN&hl=en-GB"
"jsw steel share price","1K+","25 October 2024 at 14:10:00 UTC+5:30","25 October 2024 at 15:30:00 UTC+5:30","jsw steel share price,jsw steel share","https://trends.google.com/trends/explore?q=jsw%20steel%20share%20price&geo=IN&hl=en-GB"
"sharvari wagh","500+","26 October 2024 at 22:10:00 UTC+5:30","26 October 2024 at 23:20:00 UTC+5:30","sharvari wagh","https://trends.google.com/trends/explore?q=sharvari%20wagh&geo=IN&hl=en-GB"
"crackers","1K+","24 October 2024 at 17:30:00 UTC+5:30","24 October 2024 at 22:30:00 UTC+5:30","crackers","https://trends.google.com/trends/explore?q=crackers&geo=IN&hl=en-GB"
"university of kashmir","500+","25 October 2024 at 16:30:00 UTC+5:30","25 October 2024 at 19:40:00 UTC+5:30","university of kashmir","https://trends.google.com/trends/explore?q=university%20of%20kashmir&geo=IN&hl=en-GB"
"rajasthan high court","500+","27 October 2024 at 13:50:00 UTC+5:30","27 October 2024 at 15:20:00 UTC+5:30","rajasthan high court","https://trends.google.com/trends/explore?q=rajasthan%20high%20court&geo=IN&hl=en-GB"
"kerala psc","1K+","25 October 2024 at 11:50:00 UTC+5:30","25 October 2024 at 12:50:00 UTC+5:30","kerala psc","https://trends.google.com/trends/explore?q=kerala%20psc&geo=IN&hl=en-GB"
"bigg boss tamil season 8","1K+","27 October 2024 at 23:10:00 UTC+5:30","27 October 2024 at 23:50:00 UTC+5:30","bigg boss tamil season 8","https://trends.google.com/trends/explore?q=bigg%20boss%20tamil%20season%208&geo=IN&hl=en-GB"
"pirates of the caribbean","500+","27 October 2024 at 00:00:00 UTC+5:30","27 October 2024 at 12:50:00 UTC+5:30","pirates of the caribbean","https://trends.google.com/trends/explore?q=pirates%20of%20the%20caribbean&geo=IN&hl=en-GB"
"nmc","500+","26 October 2024 at 08:00:00 UTC+5:30","26 October 2024 at 10:40:00 UTC+5:30","nmc","https://trends.google.com/trends/explore?q=nmc&geo=IN&hl=en-GB"
"nets vs bucks","200+","28 October 2024 at 07:00:00 UTC+5:30","28 October 2024 at 08:40:00 UTC+5:30","nets vs bucks","https://trends.google.com/trends/explore?q=nets%20vs%20bucks&geo=IN&hl=en-GB"
"twitch","500+","27 October 2024 at 00:30:00 UTC+5:30","27 October 2024 at 02:00:00 UTC+5:30","twitch","https://trends.google.com/trends/explore?q=twitch&geo=IN&hl=en-GB"
"arshdeep singh","200+","28 October 2024 at 09:50:00 UTC+5:30","28 October 2024 at 10:50:00 UTC+5:30","arshdeep singh","https://trends.google.com/trends/explore?q=arshdeep%20singh&geo=IN&hl=en-GB"
"nsc","500+","28 October 2024 at 09:10:00 UTC+5:30","28 October 2024 at 10:20:00 UTC+5:30","nsc,nscl","https://trends.google.com/trends/explore?q=nsc&geo=IN&hl=en-GB"
"5g mobile","100+","29 October 2024 at 06:50:00 UTC+5:30","29 October 2024 at 08:00:00 UTC+5:30","5g mobile","https://trends.google.com/trends/explore?q=5g%20mobile&geo=IN&hl=en-GB"
"ashok leyland share","500+","28 October 2024 at 09:30:00 UTC+5:30","28 October 2024 at 10:30:00 UTC+5:30","ashok leyland share","https://trends.google.com/trends/explore?q=ashok%20leyland%20share&geo=IN&hl=en-GB"
"kwame peprah","500+","25 October 2024 at 18:40:00 UTC+5:30","25 October 2024 at 20:20:00 UTC+5:30","kwame peprah","https://trends.google.com/trends/explore?q=kwame%20peprah&geo=IN&hl=en-GB"
"yodha","1K+","23 October 2024 at 21:10:00 UTC+5:30","23 October 2024 at 23:00:00 UTC+5:30","yodha,vikram kapadia","https://trends.google.com/trends/explore?q=yodha&geo=IN&hl=en-GB"
"western australia vs tasmania","500+","25 October 2024 at 07:30:00 UTC+5:30","25 October 2024 at 09:50:00 UTC+5:30","western australia vs tasmania","https://trends.google.com/trends/explore?q=western%20australia%20vs%20tasmania&geo=IN&hl=en-GB"
"liverpool","1K+","24 October 2024 at 06:20:00 UTC+5:30","24 October 2024 at 07:30:00 UTC+5:30","liverpool","https://trends.google.com/trends/explore?q=liverpool&geo=IN&hl=en-GB"
"dandadan","500+","27 October 2024 at 01:40:00 UTC+5:30","27 October 2024 at 13:10:00 UTC+5:30","dandadan","https://trends.google.com/trends/explore?q=dandadan&geo=IN&hl=en-GB"
"trektamilnadu com","500+","25 October 2024 at 06:50:00 UTC+5:30","25 October 2024 at 10:10:00 UTC+5:30","trektamilnadu com","https://trends.google.com/trends/explore?q=trektamilnadu%20com&geo=IN&hl=en-GB"
"hpcl","1K+","25 October 2024 at 15:10:00 UTC+5:30","25 October 2024 at 17:10:00 UTC+5:30","hpcl,bpcl","https://trends.google.com/trends/explore?q=hpcl&geo=IN&hl=en-GB"
"abp news","500+","26 October 2024 at 06:40:00 UTC+5:30","26 October 2024 at 08:30:00 UTC+5:30","abp news","https://trends.google.com/trends/explore?q=abp%20news&geo=IN&hl=en-GB"
"शुबमन गिल","500+","26 October 2024 at 13:00:00 UTC+5:30","26 October 2024 at 15:00:00 UTC+5:30","शुबमन गिल","https://trends.google.com/trends/explore?q=%E0%A4%B6%E0%A5%81%E0%A4%AC%E0%A4%AE%E0%A4%A8%20%E0%A4%97%E0%A4%BF%E0%A4%B2&geo=IN&hl=en-GB"
"claude","1K+","24 October 2024 at 01:20:00 UTC+5:30","24 October 2024 at 13:30:00 UTC+5:30","claude,claude ai","https://trends.google.com/trends/explore?q=claude&geo=IN&hl=en-GB"
"what to watch","500+","27 October 2024 at 14:20:00 UTC+5:30","27 October 2024 at 16:20:00 UTC+5:30","what to watch","https://trends.google.com/trends/explore?q=what%20to%20watch&geo=IN&hl=en-GB"
"liverpool f.c.","1K+","24 October 2024 at 01:50:00 UTC+5:30","24 October 2024 at 05:10:00 UTC+5:30","liverpool f.c.,liverpool vs leipzig,darwin núñez,football match today","https://trends.google.com/trends/explore?q=liverpool%20f.c.&geo=IN&hl=en-GB"
"hindustan zinc share","200+","28 October 2024 at 09:30:00 UTC+5:30","28 October 2024 at 10:30:00 UTC+5:30","hindustan zinc share","https://trends.google.com/trends/explore?q=hindustan%20zinc%20share&geo=IN&hl=en-GB"
"appsc","1K+","23 October 2024 at 16:00:00 UTC+5:30","23 October 2024 at 18:40:00 UTC+5:30","appsc","https://trends.google.com/trends/explore?q=appsc&geo=IN&hl=en-GB"
"ben shelton","1K+","26 October 2024 at 19:20:00 UTC+5:30","26 October 2024 at 20:50:00 UTC+5:30","ben shelton,andrey rublev,stefanos tsitsipas","https://trends.google.com/trends/explore?q=ben%20shelton&geo=IN&hl=en-GB"
"zig currency","500+","27 October 2024 at 15:10:00 UTC+5:30","27 October 2024 at 16:30:00 UTC+5:30","zig currency","https://trends.google.com/trends/explore?q=zig%20currency&geo=IN&hl=en-GB"
"sky gold share price","200+","28 October 2024 at 09:40:00 UTC+5:30","28 October 2024 at 10:40:00 UTC+5:30","sky gold share price","https://trends.google.com/trends/explore?q=sky%20gold%20share%20price&geo=IN&hl=en-GB"
"broadcom share price","200+","28 October 2024 at 19:20:00 UTC+5:30","28 October 2024 at 20:20:00 UTC+5:30","broadcom share price","https://trends.google.com/trends/explore?q=broadcom%20share%20price&geo=IN&hl=en-GB"
"dazn","200+","27 October 2024 at 00:50:00 UTC+5:30","27 October 2024 at 02:10:00 UTC+5:30","dazn","https://trends.google.com/trends/explore?q=dazn&geo=IN&hl=en-GB"
"instagram halloween","500+","26 October 2024 at 18:00:00 UTC+5:30","26 October 2024 at 19:30:00 UTC+5:30","instagram halloween","https://trends.google.com/trends/explore?q=instagram%20halloween&geo=IN&hl=en-GB"
"tanla share price","200+","28 October 2024 at 09:30:00 UTC+5:30","28 October 2024 at 10:30:00 UTC+5:30","tanla share price","https://trends.google.com/trends/explore?q=tanla%20share%20price&geo=IN&hl=en-GB"
"nuggets vs clippers","200+","27 October 2024 at 04:50:00 UTC+5:30","27 October 2024 at 08:20:00 UTC+5:30","nuggets vs clippers","https://trends.google.com/trends/explore?q=nuggets%20vs%20clippers&geo=IN&hl=en-GB"
"matka result","5K+","26 October 2024 at 18:00:00 UTC+5:30","26 October 2024 at 18:20:00 UTC+5:30","matka result,सटका मटका कल्याण चार्ट,कल्याण रिजल्ट","https://trends.google.com/trends/explore?q=matka%20result&geo=IN&hl=en-GB"
"टॉम ब्लंडेल","500+","25 October 2024 at 15:20:00 UTC+5:30","25 October 2024 at 17:20:00 UTC+5:30","टॉम ब्लंडेल","https://trends.google.com/trends/explore?q=%E0%A4%9F%E0%A5%89%E0%A4%AE%20%E0%A4%AC%E0%A5%8D%E0%A4%B2%E0%A4%82%E0%A4%A1%E0%A5%87%E0%A4%B2&geo=IN&hl=en-GB"
"angrau","1K+","23 October 2024 at 16:10:00 UTC+5:30","23 October 2024 at 18:50:00 UTC+5:30","angrau","https://trends.google.com/trends/explore?q=angrau&geo=IN&hl=en-GB"
"nitesh tiwari ramayana","1K+","23 October 2024 at 20:00:00 UTC+5:30","23 October 2024 at 21:50:00 UTC+5:30","nitesh tiwari ramayana","https://trends.google.com/trends/explore?q=nitesh%20tiwari%20ramayana&geo=IN&hl=en-GB"
"mohamed salah","1K+","25 October 2024 at 19:20:00 UTC+5:30","25 October 2024 at 22:40:00 UTC+5:30","mohamed salah","https://trends.google.com/trends/explore?q=mohamed%20salah&geo=IN&hl=en-GB"
"the flash","500+","26 October 2024 at 20:20:00 UTC+5:30","26 October 2024 at 22:10:00 UTC+5:30","the flash","https://trends.google.com/trends/explore?q=the%20flash&geo=IN&hl=en-GB"
"ऋषभ पंत","500+","26 October 2024 at 13:20:00 UTC+5:30","26 October 2024 at 14:30:00 UTC+5:30","ऋषभ पंत,ग्लेन फिलिप्स","https://trends.google.com/trends/explore?q=%E0%A4%8B%E0%A4%B7%E0%A4%AD%20%E0%A4%AA%E0%A4%82%E0%A4%A4&geo=IN&hl=en-GB"
"nba lineup","500+","25 October 2024 at 04:30:00 UTC+5:30","25 October 2024 at 08:10:00 UTC+5:30","nba lineup","https://trends.google.com/trends/explore?q=nba%20lineup&geo=IN&hl=en-GB"
"nba lineup","100+","29 October 2024 at 05:00:00 UTC+5:30","29 October 2024 at 06:00:00 UTC+5:30","nba lineup","https://trends.google.com/trends/explore?q=nba%20lineup&geo=IN&hl=en-GB"
"alexander zverev","500+","25 October 2024 at 20:20:00 UTC+5:30","26 October 2024 at 00:40:00 UTC+5:30","alexander zverev","https://trends.google.com/trends/explore?q=alexander%20zverev&geo=IN&hl=en-GB"
"nba","2K+","26 October 2024 at 08:30:00 UTC+5:30","26 October 2024 at 09:40:00 UTC+5:30","nba","https://trends.google.com/trends/explore?q=nba&geo=IN&hl=en-GB"
"amruta deshmukh","200+","27 October 2024 at 22:10:00 UTC+5:30","27 October 2024 at 23:10:00 UTC+5:30","amruta deshmukh","https://trends.google.com/trends/explore?q=amruta%20deshmukh&geo=IN&hl=en-GB"
"public issue","500+","25 October 2024 at 12:00:00 UTC+5:30","25 October 2024 at 14:00:00 UTC+5:30","public issue","https://trends.google.com/trends/explore?q=public%20issue&geo=IN&hl=en-GB"
"olectra greentech share price","1K+","25 October 2024 at 09:40:00 UTC+5:30","25 October 2024 at 11:30:00 UTC+5:30","olectra greentech share price,olectra share price","https://trends.google.com/trends/explore?q=olectra%20greentech%20share%20price&geo=IN&hl=en-GB"
"arshdeep singh","500+","27 October 2024 at 09:50:00 UTC+5:30","27 October 2024 at 11:20:00 UTC+5:30","arshdeep singh","https://trends.google.com/trends/explore?q=arshdeep%20singh&geo=IN&hl=en-GB"
"ipo allotment status kfintech","500+","24 October 2024 at 22:50:00 UTC+5:30","25 October 2024 at 01:20:00 UTC+5:30","ipo allotment status kfintech","https://trends.google.com/trends/explore?q=ipo%20allotment%20status%20kfintech&geo=IN&hl=en-GB"
"fenerbahçe vs manchester united f.c. lineups","500+","25 October 2024 at 01:20:00 UTC+5:30","25 October 2024 at 03:50:00 UTC+5:30","fenerbahçe vs manchester united f.c. lineups,where to watch fenerbahçe vs manchester united f.c.,mufc","https://trends.google.com/trends/explore?q=fenerbah%C3%A7e%20vs%20manchester%20united%20f.c.%20lineups&geo=IN&hl=en-GB"
"asthma","500+","26 October 2024 at 19:00:00 UTC+5:30","26 October 2024 at 22:10:00 UTC+5:30","asthma","https://trends.google.com/trends/explore?q=asthma&geo=IN&hl=en-GB"
"annu kapoor","500+","26 October 2024 at 21:40:00 UTC+5:30","26 October 2024 at 23:50:00 UTC+5:30","annu kapoor","https://trends.google.com/trends/explore?q=annu%20kapoor&geo=IN&hl=en-GB"
"cheteshwar pujara","500+","26 October 2024 at 14:40:00 UTC+5:30","26 October 2024 at 15:50:00 UTC+5:30","cheteshwar pujara","https://trends.google.com/trends/explore?q=cheteshwar%20pujara&geo=IN&hl=en-GB"
"arda güler","200+","27 October 2024 at 01:20:00 UTC+5:30","27 October 2024 at 03:40:00 UTC+5:30","arda güler","https://trends.google.com/trends/explore?q=arda%20g%C3%BCler&geo=IN&hl=en-GB"
"napoli fc","500+","26 October 2024 at 19:00:00 UTC+5:30","26 October 2024 at 20:50:00 UTC+5:30","napoli fc","https://trends.google.com/trends/explore?q=napoli%20fc&geo=IN&hl=en-GB"
"dharmaveer 2","500+","26 October 2024 at 00:50:00 UTC+5:30","26 October 2024 at 02:40:00 UTC+5:30","dharmaveer 2","https://trends.google.com/trends/explore?q=dharmaveer%202&geo=IN&hl=en-GB"
"income tax department","1K+","26 October 2024 at 11:30:00 UTC+5:30","26 October 2024 at 12:30:00 UTC+5:30","income tax department","https://trends.google.com/trends/explore?q=income%20tax%20department&geo=IN&hl=en-GB"
"light","500+","26 October 2024 at 19:10:00 UTC+5:30","26 October 2024 at 20:50:00 UTC+5:30","light","https://trends.google.com/trends/explore?q=light&geo=IN&hl=en-GB"
"kavya thapar","1K+","24 October 2024 at 15:30:00 UTC+5:30","24 October 2024 at 16:50:00 UTC+5:30","kavya thapar","https://trends.google.com/trends/explore?q=kavya%20thapar&geo=IN&hl=en-GB"
"caroline jones ratan tata","200+","28 October 2024 at 20:50:00 UTC+5:30","28 October 2024 at 21:30:00 UTC+5:30","caroline jones ratan tata","https://trends.google.com/trends/explore?q=caroline%20jones%20ratan%20tata&geo=IN&hl=en-GB"
"kajal raghwani","200+","24 October 2024 at 03:00:00 UTC+5:30","24 October 2024 at 05:20:00 UTC+5:30","kajal raghwani","https://trends.google.com/trends/explore?q=kajal%20raghwani&geo=IN&hl=en-GB"
"rangoon","200+","27 October 2024 at 17:00:00 UTC+5:30","27 October 2024 at 18:10:00 UTC+5:30","rangoon","https://trends.google.com/trends/explore?q=rangoon&geo=IN&hl=en-GB"
"krn heat exchanger share price","200+","28 October 2024 at 09:40:00 UTC+5:30","28 October 2024 at 10:30:00 UTC+5:30","krn heat exchanger share price","https://trends.google.com/trends/explore?q=krn%20heat%20exchanger%20share%20price&geo=IN&hl=en-GB"
"bucks vs bulls","200+","26 October 2024 at 07:50:00 UTC+5:30","26 October 2024 at 10:00:00 UTC+5:30","bucks vs bulls","https://trends.google.com/trends/explore?q=bucks%20vs%20bulls&geo=IN&hl=en-GB"
"pamela anderson","200+","27 October 2024 at 20:50:00 UTC+5:30","27 October 2024 at 22:00:00 UTC+5:30","pamela anderson","https://trends.google.com/trends/explore?q=pamela%20anderson&geo=IN&hl=en-GB"
"acc share price","500+","24 October 2024 at 13:50:00 UTC+5:30","24 October 2024 at 15:20:00 UTC+5:30","acc share price","https://trends.google.com/trends/explore?q=acc%20share%20price&geo=IN&hl=en-GB"
"ansu fati","200+","27 October 2024 at 01:20:00 UTC+5:30","27 October 2024 at 02:40:00 UTC+5:30","ansu fati","https://trends.google.com/trends/explore?q=ansu%20fati&geo=IN&hl=en-GB"
